AnimalID;Feature1;Feature2;Name;DateTime;OutcomeType;OutcomeSubtype;AnimalType;SexuponOutcome;AgeuponOutcome;Breed;Color
A006100;A00;0;Scamp;20/12/2014 16:35;Return_to_owner;;Dog;Neutered Male;7 years;Spinone Italiano Mix;Yellow/White
A047759;A04;4;Oreo;07/04/2014 15:12;Transfer;Partner;Dog;Neutered Male;10 years;Dachshund;Tricolor
A134067;A13;13;Bandit;16/11/2013 11:54;Return_to_owner;;Dog;Neutered Male;16 years;Shetland Sheepdog;Brown/White
A141142;A14;14;Bettie;17/11/2013 11:40;Return_to_owner;;Dog;Spayed Female;15 years;Labrador Retriever/Pit Bull;Black/White
A163459;A16;16;Sasha;14/11/2014 19:28;Return_to_owner;;Dog;Intact Female;15 years;Miniature Schnauzer Mix;Black/Gray
A178569;A17;17;Boti;23/03/2014 15:57;Return_to_owner;;Dog;Neutered Male;15 years;Shetland Sheepdog Mix;White/Black
A189592;A18;18;Ophelia;18/09/2015 19:04;Return_to_owner;;Dog;Spayed Female;18 years;Shetland Sheepdog Mix;Brown/White
A191351;A19;19;Bri-Bri;17/11/2015 13:29;Return_to_owner;;Cat;Intact Female;16 years;Domestic Longhair Mix;Black/White
A197810;A19;19;Sassafrass;22/12/2014 15:23;Transfer;Partner;Cat;Spayed Female;14 years;American Shorthair Mix;Brown Tabby/White
A200922;A20;20;Carlos;22/11/2013 09:44;Adoption;Foster;Dog;Neutered Male;16 years;Dachshund Mix;Black/Tan
A208755;A20;20;Kootrie;17/02/2015 16:25;Euthanasia;Suffering;Dog;Neutered Male;14 years;Border Collie Mix;Black/White
A214991;A21;21;Prissy;14/12/2013 13:28;Euthanasia;Suffering;Cat;Spayed Female;19 years;Domestic Shorthair;Black
A215368;A21;21;Guiness;04/08/2014 16:31;Return_to_owner;;Dog;Neutered Male;13 years;Newfoundland Mix;Black
A218622;A21;21;Oliver;02/12/2013 17:09;Euthanasia;Suffering;Dog;Neutered Male;15 years;Pug;Gold/Gold
A218624;A21;21;Cookie;02/12/2013 17:11;Euthanasia;Suffering;Dog;Neutered Male;15 years;Pug;Gold/Gold
A228887;A22;22;Lucy;09/11/2013 17:42;Return_to_owner;;Dog;Spayed Female;12 years;Catahoula/Labrador Retriever;Blue Merle/Tan
A234161;A23;23;Midnight;27/12/2013 17:02;Return_to_owner;;Cat;Neutered Male;12 years;Domestic Shorthair Mix;Black/White
A236259;A23;23;Captain;09/07/2014 12:00;Return_to_owner;;Dog;Neutered Male;13 years;Smooth Fox Terrier Mix;Black/Tricolor
A245945;A24;24;Boomer;25/05/2015 11:49;Transfer;Partner;Dog;Neutered Male;15 years;Labrador Retriever Mix;Tan
A251214;A25;25;Rex;04/09/2014 16:12;Return_to_owner;;Dog;Neutered Male;12 years;German Shepherd Mix;Cream
A258441;A25;25;Spring;28/11/2014 14:27;Euthanasia;Suffering;Cat;Spayed Female;14 years;Domestic Shorthair Mix;Gray Tabby/White
A260631;A26;26;Popki;20/10/2014 13:50;Transfer;Partner;Cat;Neutered Male;14 years;Domestic Longhair Mix;Black/White
A260914;A26;26;Champagne;18/06/2015 11:09;Return_to_owner;;Dog;Neutered Male;13 years;Border Collie/Catahoula;Brown Merle
A267174;A26;26;Jackie;19/03/2014 11:39;Return_to_owner;;Dog;Neutered Male;12 years;Jack Russell Terrier Mix;White/Brown
A268022;A26;26;China;03/08/2015 13:08;Euthanasia;Suffering;Dog;Spayed Female;13 years;Labrador Retriever Mix;Tan
A271790;A27;27;Grant;21/09/2014 16:23;Euthanasia;Medical;Dog;Neutered Male;12 years;Harrier Mix;Tricolor
A274546;A27;27;Sophie;16/11/2013 12:24;Adoption;;Dog;Spayed Female;11 years;Pointer Mix;Tricolor
A275975;A27;27;Squeakers;12/10/2013 11:27;Adoption;;Cat;Spayed Female;11 years;Domestic Shorthair Mix;Black
A276780;A27;27;Seth;22/11/2013 15:56;Return_to_owner;;Dog;Neutered Male;11 years;Border Collie/Chow Chow;Black
A279045;A27;27;Pyewackett;13/02/2015 11:15;Return_to_owner;;Cat;Spayed Female;14 years;Domestic Shorthair Mix;White/Gray Tabby
A279920;A27;27;Carry;05/09/2014 14:31;Euthanasia;Behavior;Dog;Neutered Male;12 years;American Eskimo Mix;Cream
A281542;A28;28;George;19/05/2014 12:32;Adoption;Foster;Dog;Neutered Male;12 years;Labrador Retriever Mix;Black/Brown Brindle
A283735;A28;28;Angel;22/01/2015 19:17;Euthanasia;Suffering;Dog;Spayed Female;13 years;Doberman Pinsch Mix;Brown/Tan
A284639;A28;28;Fatboy;28/01/2014 13:17;Return_to_owner;;Dog;Neutered Male;11 years;German Shepherd Mix;Tan
A287017;A28;28;Stitch;16/08/2015 13:31;Return_to_owner;;Dog;Spayed Female;14 years;Chihuahua Shorthair Mix;Black/White
A287217;A28;28;Spider;31/10/2014 13:06;Return_to_owner;;Cat;Spayed Female;12 years;Domestic Shorthair Mix;Black
A290917;A29;29;Sweet Pea;08/07/2014 14:46;Transfer;Partner;Cat;Spayed Female;11 years;Domestic Longhair Mix;Orange Tabby/White
A294132;A29;29;Jasper;26/10/2013 12:31;Return_to_owner;;Dog;Neutered Male;12 years;Australian Shepherd Mix;Black/Brown
A295822;A29;29;Fuzzy;09/05/2015 18:47;Adoption;;Cat;Spayed Female;12 years;Domestic Longhair Mix;Black
A298074;A29;29;Stumpy;07/09/2015 11:40;Return_to_owner;;Dog;Spayed Female;18 years;Parson Russell Terrier Mix;Black/White
A302820;A30;30;Ladybug;25/07/2014 10:30;Adoption;Foster;Dog;Spayed Female;11 years;German Shepherd Mix;Brown
A304036;A30;30;Pepito;14/06/2015 16:09;Adoption;;Cat;Neutered Male;13 years;Domestic Shorthair Mix;Brown Tabby/White
A305112;A30;30;Baylee;05/04/2014 12:16;Return_to_owner;;Dog;Spayed Female;11 years;Rat Terrier;White/Brown
A305674;A30;30;Crystal;10/07/2014 18:53;Euthanasia;Suffering;Dog;Spayed Female;12 years;Siberian Husky Mix;Brown/Cream
A306362;A30;30;Zoey;18/07/2015 16:40;Return_to_owner;;Dog;Spayed Female;13 years;Labrador Retriever/Chow Chow;Black
A307592;A30;30;Arthur;14/06/2014 15:15;Adoption;;Cat;Neutered Male;12 years;Domestic Longhair Mix;Orange Tabby/White
A308771;A30;30;Lili;02/03/2014 14:40;Return_to_owner;;Dog;Spayed Female;14 years;Labrador Retriever Mix;Brown
A309829;A30;30;Petey;12/11/2014 15:34;Return_to_owner;;Dog;Intact Male;13 years;Dachshund;Brown
A310394;A31;31;Carolina;17/11/2014 12:04;Return_to_owner;;Dog;Spayed Female;11 years;Chow Chow/Cardigan Welsh Corgi;Red/White
A310454;A31;31;Sammy;12/10/2015 13:25;Return_to_owner;;Dog;Neutered Male;13 years;Chihuahua Shorthair Mix;Tan/White
A310938;A31;31;Rocky;19/04/2015 12:06;Return_to_owner;;Cat;Neutered Male;12 years;Domestic Shorthair;Gray/White
A311544;A31;31;Tanner;28/10/2013 00:03;Return_to_owner;;Dog;Neutered Male;16 years;Labrador Retriever/Chinese Sharpei;Brown
A312005;A31;31;Harold;18/10/2014 16:32;Adoption;;Cat;Neutered Male;13 years;Siamese Mix;Lilac Point
A318500;A31;31;Tiger;08/10/2014 16:13;Return_to_owner;;Dog;Neutered Male;13 years;German Shepherd Mix;Tan
A318574;A31;31;Huey;31/07/2015 17:02;Adoption;;Cat;Neutered Male;12 years;Domestic Shorthair;Brown Tabby
A321341;A32;32;Chelsea;30/03/2014 16:38;Adoption;;Cat;Spayed Female;10 years;Domestic Shorthair Mix;Tortie
A322813;A32;32;Tyson;24/12/2015 14:31;Return_to_owner;;Dog;Neutered Male;12 years;Rottweiler Mix;Black/Brown
A323668;A32;32;Ringo;06/03/2015 17:36;Return_to_owner;;Dog;Neutered Male;11 years;Australian Cattle Dog Mix;Tricolor
A325999;A32;32;Precious;27/08/2015 12:11;Euthanasia;Suffering;Dog;Spayed Female;12 years;Pit Bull Mix;Brown/White
A328422;A32;32;Cru;17/03/2014 11:55;Return_to_owner;;Dog;Neutered Male;10 years;Parson Russell Terrier Mix;White/Black
A333659;A33;33;Tyoma;27/10/2013 19:17;Return_to_owner;;Dog;Neutered Male;9 years;Cocker Spaniel Mix;Red/Black
A335182;A33;33;Annie;03/01/2014 11:04;Return_to_owner;;Dog;Spayed Female;10 years;Labrador Retriever/Pit Bull;Black Brindle
A337686;A33;33;Sparky;07/06/2015 12:45;Return_to_owner;;Dog;Spayed Female;11 years;Border Collie Mix;Black/Tan
A338231;A33;33;Boots;18/05/2015 16:09;Return_to_owner;;Dog;Neutered Male;13 years;Border Collie Mix;Black/White
A339103;A33;33;Ani;21/04/2015 17:38;Return_to_owner;;Dog;Spayed Female;11 years;Labrador Retriever Mix;Brown/White
A341599;A34;34;Reece;11/01/2014 11:05;Transfer;Partner;Cat;Neutered Male;9 years;Domestic Shorthair Mix;Black
A342480;A34;34;Lucy;20/05/2015 12:25;Return_to_owner;;Dog;Spayed Female;14 years;Labrador Retriever Mix;Red/Tan
A345209;A34;34;Chula;27/11/2014 09:59;Return_to_owner;;Dog;Spayed Female;10 years;Labrador Retriever Mix;Tan
A346599;A34;34;Assassin;04/12/2015 12:22;Transfer;Partner;Cat;Intact Male;11 years;Domestic Shorthair Mix;Black
A346884;A34;34;Dolly;11/08/2015 13:44;Euthanasia;Suffering;Dog;Spayed Female;11 years;Bernese Mountain Dog;Tricolor
A349480;A34;34;Daisy;22/12/2013 11:30;Return_to_owner;;Dog;Spayed Female;11 years;Labrador Retriever Mix;Chocolate
A354540;A35;35;Tux;22/01/2015 12:07;Adoption;Foster;Cat;Neutered Male;10 years;Domestic Shorthair Mix;Black/White
A354597;A35;35;Ariel;03/06/2014 12:30;Adoption;;Cat;Spayed Female;10 years;Maine Coon Mix;Brown Tabby
A354725;A35;35;Kia;29/08/2015 15:17;Transfer;Partner;Dog;Spayed Female;11 years;Labrador Retriever/Beagle;Black
A355688;A35;35;Shadow;23/02/2014 17:48;Adoption;;Dog;Neutered Male;9 years;Australian Shepherd/Chow Chow;Blue
A355753;A35;35;Elijah;30/09/2015 16:48;Return_to_owner;;Dog;Neutered Male;11 years;Beagle Mix;Tricolor
A357021;A35;35;Queens;04/12/2014 15:34;Return_to_owner;;Dog;Spayed Female;10 years;Labrador Retriever/Pit Bull;White
A358697;A35;35;Fuzzo;12/02/2015 18:50;Return_to_owner;;Dog;Neutered Male;11 years;Pit Bull Mix;Brown/White
A358879;A35;35;Simba;15/09/2015 16:22;Euthanasia;Suffering;Dog;Neutered Male;13 years;Siberian Husky;Brown/Black
A361391;A36;36;Baby Bear;20/04/2015 11:23;Transfer;Partner;Dog;Neutered Male;12 years;Lhasa Apso;Cream/White
A362103;A36;36;Stitch;19/11/2014 15:35;Return_to_owner;;Dog;Neutered Male;12 years;Cardigan Welsh Corgi Mix;Brown/White
A362137;A36;36;Darcy;01/01/2014 07:39;Adoption;Foster;Dog;Spayed Female;9 years;Keeshond Mix;Brown/Black
A362967;A36;36;Honey;15/06/2014 11:14;Return_to_owner;;Dog;Spayed Female;9 years;German Shepherd/Labrador Retriever;Tan/White
A363653;A36;36;Goofy;18/11/2014 11:55;Return_to_owner;;Dog;Neutered Male;10 years;Catahoula/Labrador Retriever;Blue Merle/White
A367012;A36;36;Miller;16/09/2015 13:07;Euthanasia;Suffering;Dog;Neutered Male;11 years;German Shepherd Mix;Brown/Black
A367438;A36;36;Cookie;12/09/2015 13:30;Adoption;;Dog;Spayed Female;16 years;Chihuahua Shorthair Mix;Brown/White
A367747;A36;36;Woody;04/11/2014 08:34;Adoption;Foster;Dog;Neutered Male;10 years;German Shepherd Mix;Black/Tan
A368930;A36;36;;13/06/2014 15:52;Transfer;Partner;Dog;Spayed Female;10 years;Boston Terrier;Brown Brindle/White
A370852;A37;37;Katie;08/11/2013 13:19;Return_to_owner;;Dog;Spayed Female;9 years;Chihuahua Shorthair Mix;Tan
A371000;A37;37;Greg;02/10/2015 12:19;Adoption;;Cat;Neutered Male;11 years;Domestic Shorthair Mix;Blue/White
