Survived,Pclass,SibSp,Parch,Fare,Gender,AgeFill,AgeIsNull,FamilySize,Age*Class,Title_Col,Title_Dr,Title_Lady,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rev,Embarked_C,Embarked_Q,Embarked_S,Top_adulte,Mother
0,3,1,0,7.25,1,22.0,0,1,66.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
1,1,1,0,71.2833,0,38.0,0,1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0
1,3,0,0,7.925,0,26.0,0,0,78.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0
1,1,1,0,53.1,0,35.0,0,1,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
0,3,0,0,8.05,1,35.0,0,0,105.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
0,3,0,0,8.4583,1,25.0,1,0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0
0,1,0,0,51.8625,1,54.0,0,0,54.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
0,3,3,1,21.075,1,2.0,0,4,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1,3,0,2,11.1333,0,27.0,0,2,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
1,2,1,0,30.0708,0,14.0,0,1,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0
1,3,1,1,16.7,0,4.0,0,2,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1,1,0,0,26.55,0,58.0,0,0,58.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0
0,3,0,0,8.05,1,20.0,0,0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
0,3,1,5,31.275,1,39.0,0,6,117.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
0,3,0,0,7.8542,0,14.0,0,0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1,2,0,0,16.0,0,55.0,0,0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
0,3,4,1,29.125,1,2.0,0,5,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
1,2,0,0,13.0,1,30.0,1,0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
0,3,1,0,18.0,0,31.0,0,1,93.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
1,3,0,0,7.225,0,21.5,1,0,64.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0
0,2,0,0,26.0,1,35.0,0,0,70.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
1,2,0,0,13.0,1,34.0,0,0,68.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
1,3,0,0,8.0292,0,15.0,0,0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
1,1,0,0,35.5,1,28.0,0,0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
0,3,3,1,21.075,0,8.0,0,4,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1,3,1,5,31.3875,0,38.0,0,6,114.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
0,3,0,0,7.225,1,25.0,1,0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0
0,1,3,2,263.0,1,19.0,0,5,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
1,3,0,0,7.8792,0,21.5,1,0,64.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0
0,3,0,0,7.8958,1,25.0,1,0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
0,1,0,0,27.7208,1,40.0,0,0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
1,1,1,0,146.5208,0,35.0,1,1,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0
1,3,0,0,7.75,0,21.5,1,0,64.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0
0,2,0,0,10.5,1,66.0,0,0,132.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
0,1,1,0,82.1708,1,28.0,0,1,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0
0,1,1,0,52.0,1,42.0,0,1,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
1,3,0,0,7.2292,1,25.0,1,0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0
0,3,0,0,8.05,1,21.0,0,0,63.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
0,3,2,0,18.0,0,18.0,0,2,54.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0
1,3,1,0,11.2417,0,14.0,0,1,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0,3,1,0,9.475,0,40.0,0,1,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
0,2,1,0,21.0,0,27.0,0,1,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
